Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.51667942217011E-18,-5.7017128014755E-13,0.0802910464971479,0,0,0,1.82043849463012,0.00838674608649416,-3.00997151600602E-11,-5.82885696691992E-18,0.0436475937409821,1.76405604747381E-18,0.0519774548419139,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,desk_as00-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tr0,-0.00394787639504182,1.37418500665507E-05,0.00254298269279472,0,0,0,0.0547114238405179,7.61776025856824E-05,4.23831106821021E-09,-1.67945750554521E-07,6.50793003268922E-06,3.53100119604505E-09,7.70651828223062E-05,0,0,0,0,0,0,package://robot/meshes/tr0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/tr0.STL,,axep-1,Coordinate System15,Axis3,trj0,revolute,0.248451238407881,0,0.0249999999999996,0,0.380444263902653,0,base_link,0,0,-1,0,0,-0.2278,0.2278,,,,,,,,
wh0,0,-3.7470027081099E-16,-1.73472347597681E-17,0,0,0,0.0490782123073816,1.14097578389298E-05,-2.95578023787108E-23,5.50508017383537E-24,1.63120870051882E-05,5.0400806867828E-22,1.14097578389298E-05,0,0,0,0,0,0,package://robot/meshes/wh0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wh0.STL,,wheel_0-1,Origin_whj0,Axis5,whj0,continuous,0,-0.0790000000000001,0,-3.14159265358979,-0.380444263902653,0,tr0,0,-1,0,,,,,,,,,,,,
wh1,0,-4.16333634234434E-16,6.93889390390723E-18,0,0,0,0.0490782123073816,1.14097578389298E-05,-2.95578023787108E-23,5.51817720020061E-24,1.63120870051882E-05,5.05450120212838E-22,1.14097578389298E-05,0,0,0,0,0,0,package://robot/meshes/wh1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wh1.STL,,wheel_1-1,Origin_whj1,Axis6,whj1,continuous,0,0.079,0,-3.14159265358979,-0.380444263902653,0,tr0,0,-1,0,,,,,,,,,,,,
tr1,-0.0039478771195347,1.37395100394427E-05,0.00254298982375513,0,0,0,0.0547114133476162,7.61776030250516E-05,4.23553409378601E-09,-1.67942745117598E-07,6.50794157169863E-06,3.52861875880821E-09,7.70651978379734E-05,0,0,0,0,0,0,package://robot/meshes/tr1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/tr1.STL,,axep-2,Coordinate System16,Axis4,trj1,revolute,-0.248451238407882,0,0.025,0,0.380444263902653,3.14159265358979,base_link,0,0,-1,0,0,-0.2278,0.2278,,,,,,,,
wh2,2.08166817117217E-15,0.0159999999999977,7.97972798949331E-17,0,0,0,0.0490782123073816,1.14097578389298E-05,-8.53357381405663E-23,-8.02945735218156E-23,1.63120870051882E-05,5.04700071664633E-22,1.14097578389298E-05,0,0,0,0,0,0,package://robot/meshes/wh2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wh2.STL,,wheel_2-1,Origin_whj2,Axis7,whj2,continuous,0,0.0630000000000009,0,3.14159265358979,0.380444263902653,3.14159265358979,tr1,0,-1,0,,,,,,,,,,,,
wh3,2.4980018054066E-15,-0.0160000000000055,4.1286418728248E-16,0,0,0,0.0490782123073816,1.14097578389298E-05,4.15744681797579E-22,-1.28506924098295E-23,1.63120870051882E-05,-1.51826352916934E-20,1.14097578389298E-05,0,0,0,0,0,0,package://robot/meshes/wh3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/wh3.STL,,wheel_3-1,Origin_whj3,Axis8,whj3,continuous,0,-0.0629999999999984,0,3.14159265358979,0.380444263902653,3.14159265358979,tr1,0,-1,0,,,,,,,,,,,,
